Department,Department Code,Program Code,DRF Program,Description EN,Description FR
Agriculture and Agri-Food Canada,1,BWO04,Agricultural Greenhouse Gases Program,"The Agricultural Greenhouse Gases Program helps organizations, academic institutions and other levels of government enhance the understanding and accessibility of agricultural technologies and beneficial management practices that can be adopted by farmers to mitigate greenhouse gas emissions in Canada. Research under this program aims to increase the understanding of the chemical, physical and biological processes that lead to greenhouse gas emissions from agricultural systems into surface water, ground water and the atmosphere.","Le Programme de lutte contre les gaz à effet de serre en agriculture aide les organisations, les établissements d’enseignement et les autres échelons gouvernementaux à améliorer la compréhension et l’accessibilité des technologies agricoles et des pratiques de gestion bénéfiques que les agriculteurs peuvent adopter pour atténuer des émissions de gaz à effet de serre au Canada. La recherche menée dans le cadre de ce programme vise à améliorer la compréhension des processus chimiques, physiques et biologiques qui produisent des émissions de gaz à effet de serre en agriculture dans les eaux de surface, les eaux souterraines et l’atmosphère."
Agriculture and Agri-Food Canada,1,BWO02,AgriScience,"The AgriScience program accelerates the pace of innovation in the sector by supporting industry-led research and development to increase market opportunities in the agriculture, agri-food and agri-based products sector. The program is delivered through two types of initiatives: the AgriScience – Clusters Component (Clusters) and the AgriScience – Projects Component (Projects). Clusters are national in scope and bring together scientific expertise from industry, academia and government to collaborate to address multiple industry priorities of a specific commodity (such as wheat, beef, etc.) or cross-cutting issues (e.g.; bioproducts, food processing). Projects may be individually led research projects or a small group of projects that are national, regional or local in scope.","Le programme Agri-science accélère le rythme de l’innovation dans le secteur en appuyant les activités de recherche et développement de l’industry afin d’accroître les débouchés dans le secteur de l’agriculture, de l’agroalimentaire et des produits agro-industriels. Il comporte deux types d’initiatives : Agri science – Volet des grappes (grappes) et Agri science – Volet des projets (projets). Les grappes sont de portée nationale et réunissent les scientifiques de l’industrie, des universités et du gouvernement pour collaborer en vue de répondre aux multiples priorités de l’industrie concernant un produit donné (blé, bœuf, etc.) ou des questions intersectorielles (bioproduits, transformation des aliments, etc.). Les projets peuvent être des projets de recherche menés individuellement ou un petit groupe de projets de portée nationale, régionale ou locale."
Agriculture and Agri-Food Canada,1,BWO03,AgriInnovate,"The AgriInnovate program accelerates the commercialization and adoption of innovative products and processes in the agricultural sector to increase sector competitiveness and sustainability. The program is intended to address both the financing gap present between moving agricultural, agri-food and agri-based research to commercialization, and to assist industry in mitigating the inherent risk in scaling-up products and processes.","Le programme Agri-innover accélére la commercialisation et l’adoption de produits et procédés innovateurs dans le secteur agricole pour accroître la compétitivité et la durabilité du secteur. Le programme vise à combler l’écart financier entre la recherche sur les produits agricoles, agroalimentaires et agro industriels et leur commercialisation et à aider l’industrie à atténuer les risques inhérents au perfectionnement des produits et procédés."
Agriculture and Agri-Food Canada,1,BWO06,"Federal, Provincial and Territorial Cost-shared Science, Research, Innovation and Environment","Under Federal, Provincial and Territorial Cost-shared Science, Research, Innovation and Environment, transfer payments are provided to the provinces and territories for programming to accelerate the pace of innovation in the Canadian agriculture and agri-food sector. A key focus of such innovation is the research, development and commercialization of products, practices, processes and systems that enhance the productivity, competitiveness, economic growth and adaptability to environment and climate change in the sector.","Dans le cadre des programmes à frais partagés fédéral, provinciaux et territoriaux liés à la science, à la recherche, à l’innovation et à l’environnement, des paiements de transfert sont attribués aux provinces et territoires afin de permettre aux programmes d’accélérer le rythme d’innovation du secteur canadien de l’agriculture et de l’agroalimentaire. L’un des principaux objectifs de cette innovation est la recherche, le développement et la commercialisation de produits, pratiques, procédés et systèmes qui visent à améliorer la productivité, la compétitivité, la croissance économique et l’adaptabilité à l’environnement et au changement climatique dans le secteur."
Agriculture and Agri-Food Canada,1,BWN01,Trade and Market Expansion,"The goal of the Trade and Market Expansion service is to increase agriculture and agri-food trade by maintaining, re-opening and expanding market access, advancing agricultural interests internationally, and helping the industry take advantage of market opportunities. Through the AgriMarketing program, funding is provided to industry to support industry-led market development activities that help leverage Canada’s reputation for high quality and safe food.","L’objectif du service de la Croissance du commerce et des marchés est d’accroître le commerce des produits agricoles et agroalimentaires en en assurant la réouverture, le maintien et la croissance des marchés, en défendant les intérêts agricoles à l’échelle internationale et en aidant l’industrie à tirer parti des débouchés. À travers le programme Agri-marketing, les fonds sont offerts à l’industrie afin de supporter des activités de développement des marchés dirigées par l’industrie qui misent sur la réputation du Canada comme producteur d’aliments de grande qualité et sans danger pour la santé."
Agriculture and Agri-Food Canada,1,BWO05,Canadian Agricultural Adaptation Program,"The Canadian Agricultural Strategic Priorities Program supports the agricultural sector to adapt to new and emerging issues, opportunities and challenges in order to remain competitive. The program funds national or sector-wide projects to develop a new idea, product, niche, or market opportunity or respond to new and emerging issues.","Le Programme canadien des priorités stratégiques de l'agriculture aide le secteur agricole à s’adapter aux questions nouvelles et émergentes, aux possibilités et aux défis afin de demeurer concurrentiel. Le pgrogramme finance des projets nationaux ou sectoriels pour développer une nouvelle idée, un nouveau produit, un créneau ou un débouché ou pour répondre à des questions nouvelles et émergentes."
Agriculture and Agri-Food Canada,1,BWO00,Science and Innovation,"Agriculture and Agri-Food Canada conducts scientific research, develops new knowledge and new technologies, and transfers the results to the agriculture and agri-food sector. Agriculture and Agri-Food Canada also works with industry and other partners to strengthen the sector’s capacity to develop and adopt innovative practices, products and processes.","Agriculture et Agroalimentaire Canada mène des recherches scientifiques, développe de nouvelles connaissances et de nouvelles technologies et transfère les résultats au secteur de l’agriculture et de l’agroalimentaire. Agriculture et Agroalimentaire Canada travaille également avec l'industrie et d'autres partenaires pour renforcer la capacité du secteur à développer et à adopter des pratiques, des produits et des procédés novateurs."
Atlantic Canada Opportunities Agency,12,BED04,Innovation Ecosystem,"The Atlantic Canada Opportunities Agency (ACOA) develops and facilitates strategic networks, partnerships and initiatives to develop an innovation ecosystem. Activities that are key to this ecosystem include networking, engagement and coordination activities to foster collaboration with various stakeholders, such as other federal departments, provinces, industry associations and educational institutions. ACOA aims to increase awareness, knowledge, influence and capacity to innovate in new and traditional sectors, pursue new opportunities, and solve challenges. This program helps build the ecosystem by supporting competitive clusters and business incubators and accelerators, and by funding innovation infrastructure. It helps communities of interest, such as business associations and development organizations, to promote innovation and mitigate risks, including in rural areas. ACOA engages with key stakeholders, networks and partnerships to ensure that innovation challenges and opportunities identified by small and medium-sized enterprises (SMEs) are addressed in a coordinated manner. It lays the foundation for SMEs to successfully innovate and commercialize technologies. This program is well aligned with the ACOA Act and its activities, including support for enterprises and business associations, and other activities aimed at improving the business environment.","L’Agence de promotion économique du Canada atlantique (APECA) crée et soutient des réseaux, des partenariats et des initiatives stratégiques afin d’établir un écosystème d’innovation. Elle entreprend des activités essentielles pour cet écosystème, soit le réseautage, la mobilisation et la coordination pour promouvoir la collaboration avec divers intervenants, tels que d’autres ministères, les provinces, des associations industrielles et des établissements d’enseignement. L’Agence vise à accroître la sensibilisation, les connaissances, l’influence et la capacité d’innover des nouveaux secteurs et des secteurs traditionnels, ainsi qu’à aider ceux-ci à saisir les occasions et à relever des défis. Le programme aide à mettre en place l’écosystème en soutenant les grappes industrielles et les incubateurs et les accélérateurs d’entreprises, et en finançant l’infrastructure d’innovation. Il aide les communautés d’intérêts, comme les associations de gens d’affaires et les organismes de développement, à promouvoir l’innovation et à atténuer les risques, y compris dans les régions rurales. L’APECA collabore avec les principaux intervenants, réseaux et partenariats pour veiller à ce que les défis et les possibilités soulevés par les petites et moyennes entreprises (PME) en matière d’innovation soient traités de manière coordonnée, pour poser ainsi les jalons permettant aux PME d’innover et de commercialiser des technologies avec succès. Ce programme s’harmonise bien avec la Loi sur l’APECA et les activités connexes, dont le soutien des entreprises et des associations de gens d’affaires, et d’autres activités liées à l’amélioration du contexte commercial."
Atlantic Canada Opportunities Agency,12,BED03,Research and Development and Commercialization,"The Atlantic Canada Opportunities Agency (ACOA) plays an important role in ensuring that Atlantic Canada continues to maximize benefits from national research and development (R&D) programs and builds on the momentum of rising business expenditures in R&D in the region. R&D and commercialization is fundamental to increasing the region’s competitiveness and to closing the productivity gap with the rest of the country. The Agency invests in innovation by supporting the development and commercialization of new products, services and processes. ACOA also provides support for the adoption and adaptation of leading-edge technologies. Clients include businesses, universities and research institutes. With ACOA’s financial assistance, small and medium-sized enterprises (SMEs) and institutions can acquire the resources (equipment, etc.) and expertise needed to develop new or enhanced technologies, products, processes and services for commercial use. SMEs and institutions create R&D partnerships to pursue institution or industry-initiated product/process/service concepts that lead to intellectual property development and advances innovation in the region. This is well aligned with the ACOA Act and its activities, including support for enterprises and other activities aimed at improving the business environment.","Le rôle de l’Agence de promotion économique du Canada atlantique (APECA) est déterminant pour que le Canada atlantique continue à tirer le maximum des programmes nationaux de recherche-développement (R-D) et à miser sur le nombre accru des dépenses d’entreprises dans la R-D dans la région. La R-D et la commercialisation sont fondamentales pour accroître la compétitivité de la région et combler l’écart de productivité entre la région et le reste du pays. L’Agence investit dans l’innovation en appuyant la mise au point et la commercialisation de nouveaux produits, services et procédés. Elle appuie également l’adoption et l’adaptation de technologies de pointe. Les clients comptent des entreprises, des universités et des établissements de recherche. Grâce à l’aide financière de l’APECA, les petites et moyennes entreprises (PME) et les établissements peuvent acquérir les ressources (équipement, etc.) et l’expertise requises pour créer ou améliorer des technologies, des produits, des procédés et des services à usage commercial. Les PME et les établissements créent des partenariats de R-D pour mettre au point des produits, des procédés et des services conçus par des établissements ou l’industrie. Ces activités mènent au développement de la propriété intellectuelle et favorisent l’innovation dans la région. Ce programme s’harmonise bien avec la Loi sur l’APECA et les activités connexes, dont le soutien des entreprises, et d’autres activités liées à l’amélioration du contexte commercial."
Atlantic Canada Opportunities Agency,12,BED02,Diversified Communities,"Economic development in rural areas continues to be a challenge in light of the declining traditional industries, population shifts and infrastructure issues. These issues emphasize the need to support initiatives that increase competitiveness of Atlantic Canada's rural communities and businesses. Such initiatives include: strategic planning activities related to economic development of geographic regions and sectors of interest, and infrastructure required to attract and retain labour; transportation and other types of infrastructure that supports economic activity and specific sectors; and marketing and skills development. Basic infrastructure such as transportation access, water/sewage, broadband and telecommunication and community/recreational facilities are considered essential to the development of local and regional economies. The key purpose of these types of projects is to revitalize and strengthen rural community infrastructure by improving community facilities, including new construction that are or will be used, in whole or in part, for activities such as tourism-related events, trade shows, business meetings, training sessions, symposiums and conferences that will lead to diversified communities. This program is well aligned with the ACOA Act and the types of activities mandated under the Act, which include support for enterprises, and support for business associations and other activities related to improving the business environment.","Le déclin des industries traditionnelles, les changements démographiques et les problèmes d’infrastructure continuent à rendre difficile le développement économique des régions rurales. Ces difficultés mettent en évidence le besoin d’appuyer les initiatives qui accroissent la compétitivité des collectivités et des entreprises des régions rurales du Canada atlantique. Cela comprend des activités de planification stratégique liées au développement économique des secteurs d’intérêt et des régions géographiques, et l’infrastructure requise pour attirer et conserver la main-d’œuvre; les infrastructures de transport et les autres infrastructures qui soutiennent l’activité économique et des secteurs particuliers; et le marketing et le perfectionnement des compétences. Les infrastructures de base, notamment l’accès au transport, les services d’approvisionnement en eau et d’égouts, l’accès à large bande et aux télécommunications, et les installations communautaires et récréatives, sont considérées comme essentielles au développement économique local et régional. Le principal objectif de ces types de projets consiste à revitaliser et à consolider l’infrastructure des collectivités rurales en améliorant les installations locales, notamment par la construction de nouveaux bâtiments, qui sont ou qui seront utilisés en totalité ou en partie pour des activités comme des évènements touristiques, des salons professionnels, des réunions d’affaires, des séances de formation, des symposiums et des congrès qui mèneront à des collectivités diversifiées. Ce programme s’harmonise bien avec la Loi sur l’Agence de promotion économique du Canada atlantique et les types d’activités prévus par celle-ci, dont le soutien des entreprises et des associations de gens d’affaires, ainsi que d’autres activités liées à l’amélioration du contexte commercial."
Atlantic Canada Opportunities Agency,12,BED01,Inclusive Communities,"For an economically diversified Atlantic Canada, communities must have the capacity and resources to be more inclusive; and for sustainable growth, entrepreneurs must be equipped to be competitive on the global market. Geographic communities and communities of interest, such as industry associations and non-profit organizations, need to invest in initiatives that stimulate economic growth. The Agency works with these communities through strategic investments to increase human capacity of people and organizations to increase and sustain growth and well-being. The lack of business capital available in rural regions impedes the establishment and expansion of small and medium-sized enterprises essential to the vitality and sustainability of communities. The Agency provides targeted support to Community Business Development Corporations (CBDCs) in Atlantic Canada, which provide essential investment capital focused on small rural businesses, and other services including business counselling and skills development. This program targets groups such as youth, women, Indigenous people, immigrants, including international students. It is well aligned with the Atlantic Canada Opportunities Act and its activities, which include support for enterprises, business associations and community organizations, as well as other activities aimed at improving the business environment.","Pour que le Canada atlantique soit économiquement diversifié, les collectivités doivent avoir les capacités et les ressources pour devenir plus inclusives; et pour une croissance viable, les entrepreneurs doivent être concurrentiels sur le marché mondial. Les collectivités géographiques et les communautés d’intérêts, comme les associations industrielles et les organismes sans but lucratif, doivent investir dans les projets qui stimuleront la croissance économique. L’Agence travaille avec ces collectivités en faisant des investissements stratégiques qui favorisent l’accroissement de la capacité humaine des personnes et des organisations afin d’accroître et de maintenir la croissance et le bien-être. Le manque de capitaux dans les régions rurales nuit à la mise sur pied et à l’expansion des petites et moyennes entreprises essentielles à la vitalité et à la durabilité des collectivités. L’Agence fournit un appui ciblé aux corporations au bénéfice du développement communautaire (CBDC) au Canada atlantique qui fournissent des fonds d’investissement essentiels axés sur les petites entreprises rurales et sur d’autres services, dont des conseils commerciaux et le perfectionnement des compétences. Ce programme vise les groupes cibles tels que les jeunes, les femmes, les Autochtones, les immigrants et les étudiants étrangers. Il s’harmonise bien avec la Loi sur l’Agence de promotion économique du Canada atlantique et les activités connexes, dont le soutien des entreprises, des associations de gens d’affaires et des organismes communautaires, ainsi que d’autres activités liées à l’amélioration du contexte commercial."
Atlantic Canada Opportunities Agency,12,BED07,Policy Research and Engagement,"The Policy, Research and Engagement (PRE) program is central to identifying and effectively responding to opportunities and challenges facing the regional economy. PRE provides intelligence, analysis and well-grounded advice on a broad range of issues and topics, and it informs and supports the Atlantic Canada Opportunities Agency (ACOA) and ministerial decision making. PRE helps carry the Agency’s agenda forward and ensures that ACOA remains relevant and responsive to opportunities and challenges by offering strategic, researched policy positions that reflect the region’s potential, by influencing national policies, and by coordinating other policies and programs within the region to form integrated approaches to economic development. Clients include economic, business and industry associations, post-secondary educational institutions, research institutions and organizations, independent researchers, and other federal government ministers. PRE programming is well aligned with the ACOA Act and the types of activities mandated under the Act, which includes support for enterprises through policy and program, and through advocacy of the interests of Atlantic Canada in national policies and programs.","Le programme Recherche stratégique et mobilisation est essentiel pour cerner les occasions et les défis propres à l’économie régionale et pour y donner suite efficacement. Le programme offre des renseignements, des analyses et des conseils bien fondés sur un éventail de questions et de sujets, et appuie la prise de décisions avisées à l’échelle de l’Agence de promotion économique du Canada atlantique (APECA) et par le ministre. Il aide l’Agence à remplir son mandat et à demeurer pertinente et sensibilisée aux occasions et aux défis en offrant des positions stratégiques et fondées en matière de politiques qui tiennent compte du potentiel de la région; en influençant les politiques nationales; et en coordonnant la création d’autres politiques et programmes dans la région pour constituer des démarches intégrées en matière de développement économique. Les clients comptent des associations économiques, commerciales et sectorielles, des établissements d’enseignement postsecondaire, des établissements et des organismes de recherche, des chercheurs indépendants et d’autres ministres fédéraux. Ce programme s'harmonise bien avec la Loi sur l’APECA et les types d’activités prévus par celle-ci, dont le soutien des entreprises au moyen de politiques et de programmes et la défense des intérêts du Canada atlantique dans le cadre des politiques et des programmes nationaux."
