Department Code,Transfer Payment Program,Programme de paiment de transfer,Start Date,End Date,Type,Type of Appropriation,Fiscal Year for terms and conditions,Description,Expected Results,Fiscal year of last completed evaluation,Decision Following the results of last evaluation,Fiscal year of planned completion of next evaluation,General target recipient groups,Initiative to engage applicants and recipients,
1,Agricultural Greenhouse Gases Program,Programme de lutte contre les gaz à effet de serre en agriculture,01/09/2010,Permanent  (doit être reconduit par le ministre tous les cinq ans),Contribution,Affectation de fonds annuellement par l’entremise du budget des dépenses,2015-2016 (Modalités modifiées),"Le Programme de lutte contre les gaz à effet de serre en agriculture permet de venir en aide aux différents organismes, établissements universitaires et ordres gouvernementaux afin d’améliorer leur compréhension des technologies employées en agriculture et d’en accroître l’accessibilité ainsi que d’élaborer de meilleures pratiques en matière de gestion pouvant être adoptées par les agriculteurs en vue de réduire les émissions de gaz à effet de serre au pays. La recherche menée dans le cadre de ce programme vise à mieux comprendre les processus chimiques, physiques et biologiques qui entraînent le rejet de gaz à effet de serre dans l’atmosphère et la perte de nutriments dans les eaux de surface et souterraines provenant des systèmes agricoles.","Les résultats attendus sont les suivants :

Des produits d’information sont disponibles aux fins de diffusion auprès des agriculteurs par transfert de technologie; et
Les bénéficiaires du programme facilitent l’accès des agriculteurs aux technologies d’atténuation des gaz à effet de serre et aux pratiques de gestion bénéfiques à la ferme.
Les indicateurs de rendement suivants qui sont utilisés pour faire le suivi et établir des rapports sur le programme comprennent :

Le nombre de produits d’information conçus, tels que les fiches d’informations et brochures; et
Le nombre de technologies et de pratiques de gestion bénéfiques nouvellement élaborées et démontrées dans le cadre d’ateliers et de journées champêtres.",2014-2015,Poursuite,2019-2020,"Organisations à but non lucratif, établissements universitaires, autres ordres de gouvernement (provincial, territorial et municipal) et groupes autochtones.","Les activités de communications d’Agriculture et Agroalimentaire Canada peuvent englober des conférences de presse ou des communiqués de presse, ainsi que des occasions de partenariat avec Environnement et Changement climatique Canada et Affaires mondiales Canada dans le but de tirer parti de la présence du Canada sur le plan international. En outre, des journées champêtres et des ateliers seront organisés dans le cadre de cette initiative par les bénéficiaires de fonds du Programme de lutte contre les gaz à effet de serre en agriculture.",
1,AgriScience Program,Programme Agri-science,01/04/2018,31/03/2023,Contribution,Affectation de fonds annuellement par l’entremise du budget des dépenses,2017-2018 (Modalités approuvées),"Le programme Agri-science permet d’accélérer le rythme des innovations dans le secteur grâce aux activités de recherche et développement menées par l’industrie afin d’accroître les débouchés dans le secteur de l’agriculture, de l’agroalimentaire et des produits agro-industriels.

Ce programme comporte deux types d’initiatives : Agri-science – volet des grappes (grappes) et Agri-science – volet des projets (projets).

Les grappes sont de portée nationale et elles réunissent les experts de l’industrie, du milieu universitaire et des gouvernements pour donner suite aux priorités de l’industrie pour un produit donné (le blé, le bœuf, et cetera) ou à des questions intersectorielles (bioproduits, transformation des aliments).

Les projets peuvent être des projets de recherche individuels ou peuvent être menés en petits groupes et avoir une portée nationale, régionale ou locale.","Les résultats attendus sont les suivants :

Soutien aux activités en science, recherche et innovation offert pour l’ensemble du secteur de l’agriculture et de l’agroalimentaire;
Participation accrue de l’industrie dans des activités concertées de recherche, développement et transfert des connaissances;
Augmentation de la base de connaissances du secteur de l’agriculture et de l’agroalimentaire;
Mise au point et commercialisation d’innovations soutenues par la recherche et le développement; et
Efficacité du secteur de l’agriculture et de l’agroalimentaire du Canada pour transformer des idées en nouveaux produits, procédés et pratiques.
Les indicateurs de rendement suivants qui sont utilisés pour faire le suivi et établir des rapports sur le programme comprennent :

Le nombre de grappes et de projets financés;
Le pourcentage de grappes et de projets de recherches qui proposent une collaboration en matière de recherche et développement;
Le nombre d’articles publiés dans les revues à comité de lecture; et
Le nombre de technologies, produits, pratiques, procédés ou systèmes nouveaux qui sont utilisés.",2017-2018,Poursuite,2021-2022,Pour les organismes à but lucratif ou non lucratif.,,"Les activités de communication d’Agriculture et Agroalimentaire Canada peuvent comprendre le publipostage, des conférences de presse ou des communiqués de presse.

Les clients du programme sont consultés au moyen de courriels, visite de sites, présence sur le Web ou autre activité de sensibilisation et durant l’évaluation et le suivi des projets.

D’autres activités visent une plus grande mobilisation de l’industrie, dont des activités de rayonnement auprès des tables rondes sur les chaînes de valeur, des entreprises et des associations de l’industrie."
1,AgriInnovate Program,Programme Agri-innover,01/04/2018,31/03/2023,Contribution,Affectation de fonds annuellement par l’entremise du budget des dépenses,2017-2018 (Modalités approuvées),"Le programme Agri-innover vise à accélérer la commercialisation et l’utilisation de produits et processus novateurs du secteur de l’agriculture afin d’en augmenter la compétitivité et la durabilité. L’objectif de ce programme est de combler le fossé financier entre la recherche sur l’agriculture, l’agroalimentaire et les produits agro-industriels et la commercialisation, en plus de soutenir l’industrie dans sa volonté de réduire les risques liés au perfectionnement des produits et procédés.

Ce programme offre aux bénéficiaires la possibilité de profiter d’une contribution remboursable.","Les résultats attendus sont les suivants :

Soutien aux activités d’innovation visant l’utilisation ou la commercialisation de produits ou procédés dans l’ensemble du secteur de l’agriculture ou de l’agroalimentaire;
Conception et commercialisation de produits ou procédés innovateurs dans le secteur agricole et agroalimentaire; et
Augmentation de la compétitivité et de la productivité des entreprises participantes.
Les indicateurs de rendement suivants qui sont utilisés pour faire le suivi et établir des rapports sur le programme comprennent :

Le nombre d’entreprises participantes qui reçoivent du financement;
Le nombre de technologies, produits, pratiques et services présentés; et
Le nombre de nouvelles technologies, produits, pratiques, procédés et services qui percent le marché.",2017-2018,Poursuite,2022-2023,Organismes à but lucratif,"Les activités de communications d’Agriculture et Agroalimentaire Canada peuvent englober des envois postaux, des conférences de presse ou des communiqués de presse.

Les clients du programme sont aussi consultés au moyen de courriels, visite de sites, présence sur le Web, vidéoconférences, téléconférences ou autre activité de sensibilisation et durant l’évaluation et le suivi des projets.

D’autres activités visent une plus grande mobilisation de l’industrie, dont des activités de rayonnement dans le cadre des tables rondes sur les chaînes de valeur, le Carrefour de l’innovation et des technologies propres ainsi que d’autres associations de l’industrie.",
1,Agricultural Clean Technology Program,Programme des technologies propres en agriculture,01/04/2018,31/03/2021,Contribution,Affectation de fonds annuellement par l’entremise du budget des dépenses,2017-2018 (Modalités approuvées),"L’objectif du programme des technologies propres en agriculture est de promouvoir la croissance durable dans le secteur agricole et agroalimentaire du Canada tout en aidant à accélérer les changements requis pour atteindre une économie faible en émissions de carbone au moyen d’investissements dans les domaines de l’agriculture de précision et des bioproduits d’origine agricole.

Le programme fournit des contributions non remboursables aux gouvernements provinciaux et territoriaux pour soutenir les activités dans la foulée du continuum de l’innovation — de la recherche et du développement à la commercialisation, en passant par la démonstration et l’adoption – dans le but d’accélérer et de contribuer à l’avancement et à l’adoption des technologies propres dans l’agriculture canadienne.","Les résultats attendus sont un investissement accru des gouvernements provinciaux et territoriaux dans les technologies propres dans le secteur de l’agriculture et de l’agroalimentaire et une augmentation du développement, de la démonstration, de la commercialisation et de l’adoption des technologies propres en agriculture.

Les indicateurs utilisés pour mesurer le rendement du Programme des technologies propres en agriculture par rapport aux résultats escomptés sont les suivants : le ratio des investissements provinciaux et territoriaux créés par effet de levier par rapport au financement fédéral et le nombre de projets de technologies propres en agriculture qui sont soutenus par le Programme.",Sans objet – nouveau programme,Sans objet,2022-2023,Participants admissibles sont des gouvernements provinciaux et territoriaux au Canada.,"Les provinces et les territoires participeront par vidéoconférence, téléconférence ou autres activités.",
1,AgriMarketing Program,Programme Agri-marketing,01/04/2018,31/03/2023,Contribution,Affectation de fonds annuellement par l’entremise du budget des dépenses,2017-2018 (Modalités approuvées),"L’objectif du programme croissance du commerce et des marchés est d’intensifier le commerce des produits agricoles et agroalimentaires grâce au maintien, à la réouverture et à l’expansion des marchés, à la promotion des intérêts agricoles sur la scène internationale et à la possibilité pour l’industrie de tirer parti des débouchés  Dans le cadre du programme croissance du commerce et des marchés, le programme Agri-marketing fournit un financement de contrepartie non remboursable à l’industrie afin de soutenir des activités de développement du marché dirigées par l’industrie qui permettront au secteur de saisir les débouchés nationaux et internationaux, tout en permettant au Canada de se distinguer grâce à des aliments sains de qualité supérieure.","Les résultats attendus sont les suivants :
Maintenir, accroître et diversifier les exportations à l’étranger, et saisir des débouchés sur le marché intérieur par l’entremise d’activités promotionnelles dirigées par l’industrie qui distinguent les produits et producteurs canadiens et misent sur la réputation du Canada comme fournisseur d’aliments sains de qualité supérieure.

Les indicateurs de rendement suivants seront utilisés pour évaluer la pertinence et l’efficacité du programme :

Nombre de projets approuvés;
Nombre d’activités de développement du marché qui ont reçu un soutien grâce au programme; et
Valeur ($) des exportations de produits agricoles et agroalimentaires.",2015-2016,Poursuite,2019-2020 Analyse de l’évaluabilité pour déterminer le travail préalable à terminer avant 2023-2024.,Liés à l’industrie,Les intervenants étaient invités à prendre part aux consultations nationales portant sur le Partenariat canadien pour l’agriculture.,
1,Canadian Agricultural Adaptation Program,Programme canadien d'adaptation agricole,28/05/2009,Permanent (doit être reconduit par le ministre tous les cinq ans),Contribution,Affectation de fonds annuellement par l’entremise du budget des dépenses,2015-2016 (Modalités modifiées),"Le Programme canadien d’adaptation agricole aide le secteur agricole à s’adapter aux enjeux, aux possibilités et aux défis nouveaux et émergents afin de demeurer compétitif. Le programme finance des projets de portée nationale ou sectorielle afin de créer une nouvelle idée, un nouveau produit, un nouveau créneau ou un débouché, ou pour répondre aux enjeux nouveaux ou émergents.","Les résultats suivants sont attendus :

Aider le secteur à élaborer des outils et des stratégies lui permettant de s’adapter aux circonstances changeantes, aux problèmes ou aux occasions; et
Aider le secteur à mettre en œuvre des outils et des stratégies lui permettant de s’adapter aux circonstances changeantes ou de réagir aux problèmes qui se présentent ou de donner suite aux possibilities.
Les indicateurs de rendement qui sont utilisés pour faire le suivi et établir des rapports sur le programme comprennent :

Le nombre d’outils et de stratégies élaborés par le secteur pour s’adapter aux circonstances changeantes ou réagir aux occasions de 2014 à 2019; et
Nombre d’outils et de stratégies pour s’adapter aux circonstances changeantes ou réagir aux occasions mis en œuvre par le secteur de 2014 à 2019.",La portée de l’évaluation des programmes d’adaptation et d’innovation d’Agriculture et Agroalimentaire Canada achevée en 2014-2015 comprenait le Programme canadien d’adaptation agricole.,Poursuite,2018-2019,"Organismes sans but lucratif et des associations, comme des coopératives, des agences de commercialisation et des groupes autochtones.","Les activités de communications d’Agriculture et Agroalimentaire Canada peuvent englober du publipostage, des conférences de presse ou des communiqués de presse. Les clients du programme seront également mobilisés par courriel, par des visites sur place, une présence sur le Web, des vidéoconférences, des téléconférences ou d’autres activités de sensibilisation et d’évaluation et de surveillance des projets.",
1,AgriProcessing Initiative,Initiative agri-transformation,,,,,,,,,,,,,
1,Agricultural Innovation Program,Programme d'innovation en agriculture,,,,,,,,,,,,,
1,AgriInnovation Program - Enabling Commercialization and Adoption,Programme Agri-innovation: Facilitation de la commercialisation et de l'adoption,,,,,,,,,,,,,
12,Atlantic Innovation Fund,Fonds d'innovation de l'Atlantique,10/05/2001,Programme permanent,Contribution,Affectation de fonds annuellement par l’entremise du budget des dépenses,2009-2010,"Le Fonds d’innovation de l’Atlantique (FIA) réalise des investissements stratégiques dans des initiatives de recherche-développement (R-D) en sciences naturelles et appliquées, en sciences sociales, en sciences humaines ainsi qu’en arts et en culture. Ces projets ont pour but d’adapter ou de mettre au point et de commercialiser avec succès des produits, des procédés ou des services axés sur la technologie.

Les contributions accordées à des organismes sans but lucratif ne sont pas remboursables. Les contributions accordées à des entreprises à but lucratif pour financer des projets de R-D qui comprennent la commercialisation d’un produit, d’un procédé, d’une technologie ou d’un service sont remboursables, soit sous condition ou sans condition.","accroissement de la capacité d’innovation et de R-D et intensification des activités, ce qui mène à la création de technologies, de produits, de procédés ou de services contribuant à la croissance économique de la région de l’Atlantique (résultat mesuré à l’aide d’indicateurs comme le montant investi dans les projets de R-D par l’entremise du FIA);
accroissement de la capacité de commercialisation du produit de la R-D (résultat mesuré à l’aide d’indicateurs comme le montant investi dans les projets de commercialisation et les revenus découlant des activités de commercialisation);
renforcement de la capacité d’innovation de la région en appuyant, dans l’intérêt de la recherche, du développement et de la commercialisation, la création d’alliances et de collaborations entre des entreprises du secteur privé, des universités, des établissements de recherche et d’autres organismes faisant partie du réseau d’innovation de l’Atlantique, et en augmentant la masse critique de ce réseau (résultat mesuré à l’aide d’indicateurs comme le nombre de partenariats clés créés pour mettre au point et commercialiser des technologies);
maximisation des avantages offerts par les programmes nationaux de R-D (résultat mesuré par le calcul des fonds d’autres programmes nationaux investis dans les projets du FIA).",2014-2015,Continuation,"Évaluation du sous-programme Recherche-développement et commercialisation de l’APECA, 2019-2020","bénéficiaires de l’industrie (p. ex., entreprises à but lucratif, autorités aéroportuaires, secteurs précis de l’industrie);
organismes sans but lucratif (p. ex., fondations, organisations non gouvernementales, universités, établissements de recherche, entités liées au domaine de la santé).","L’APECA mobilise des promoteurs et des bénéficiaires périodiquement, soit individuellement ou par l’entremise d’associations industrielles. La stratégie de communication comprend aussi l’utilisation des médias sociaux pour informer et mobiliser les demandeurs et les bénéficiaires.",
